,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39
CT003_ses2,0.006549269082939081,-0.006958173433728169,0.010354606542729038,-0.0028864569695158573,0.004491504926006264,-0.0001855309571259113,-0.011683903346932272,0.0033255179457969157,0.0002113949415823557,-0.0027859400089432227,-0.0006413717656753416,-0.0024807003253949586,0.001001145239803699,0.0018134385077198955,0.0002528611173798204,0.0030005179764328307,-0.0007501476361091286,-0.008637154504620196,0.0030061452230576297,0.00033966218809699297,0.0033757039963168162,0.0020544976071628375,-0.022919237644305184,-0.002742628388784302,-0.00634715280845507,-0.017726918321567673,0.00817037430973673,0.007886301717045487,-0.0004318731248505398,-0.00841161109599862,-0.0014226800503556296,0.006853825938258127,0.004726152286504329,-0.004925994481649126,-0.0035539205013283555,0.002162918561608124,-0.003398331885293075,0.000346117560952477,0.006850111291649824
CT007_ses2,-0.0021392749316455737,-0.007936961304758343,-0.004930269200489615,-0.01178173342526942,0.00715764163588424,0.008039642368581523,-0.0026344369375990158,-0.0002661480527515536,-0.002808626917562841,0.006709691153042662,-0.003656092830841265,0.0031241066364695496,0.001389104059456536,-0.010452058223055977,-0.004953506993093622,-0.011422792474373866,0.0013592968827046872,-0.0007210221269664868,0.013605128184924545,0.007937201241042113,0.003709045504264212,-0.01083440176313637,0.0029427747195000355,0.0004754978216863708,-0.012986779142610597,0.002673983649218837,-0.003224429595670496,-0.00974970337985717,-0.006153579406630563,-0.0046454342946909664,0.009792654710961413,0.005417805436746953,0.009819706839939397,0.0026988780768943243,0.0072516507696313735,0.005392607806854462,-0.004760322931661811,0.0003489283329196438,-0.005370800383357994
CT010_ses2,0.009883441438291733,-0.007938330340110454,0.004184485294129885,0.002883554206877059,0.004345223258812893,-0.005767219085409443,0.002016921368771884,0.0023970544082532012,0.005008327717019923,-0.0020429513710251697,-0.00421579864309177,0.009959778002303172,-0.007783565158813445,0.0018140791613034158,0.002978669827755963,-0.005192980073005064,-0.0020209868137236737,0.013309642665322502,-0.0005343434333855889,0.0006045463670383664,0.005362986643897393,-0.0011722041282500233,0.005783706225220512,-0.005730268439065602,0.0016906902469103373,-0.009610854755086006,0.017240279731787846,-0.007766577734902323,-0.011759839874388747,0.01425843503884724,-0.00010919660588316081,0.0050882361544200404,-0.009394904001517733,-0.004131713477179257,-0.0011652990943498995,-0.002689150983703469,-0.0027842308423543715,-0.001150848565675596,-0.005566295392103179
CT012_ses2,-0.0015066808067558696,0.004353331650286389,-0.015613197882579461,-0.007543215566982476,0.012320075398703105,0.0033661317710482726,0.0008168206668801337,0.002389459787416229,-0.0024510150691431417,-0.0010588091368257543,-0.005121980307468236,-0.0006708529295932513,-0.004978556243146223,-0.005848816893474912,0.005192955123215734,0.002051141203049584,0.009220062871313325,-0.009883219902516852,0.0023551888173697112,-0.009365991563973311,-0.0007653853243585062,0.008932503575411036,0.0016445827763947314,-0.011118491797464174,-0.010582025703531875,0.0009373272406580038,0.0008807029343071496,0.0074200583505066465,-0.007184836391670133,0.000750475447869925,0.0009863911678039447,-0.013049274091445795,-0.0026641182717542997,0.0008402826395603669,-0.010958753330100941,-0.011521514465826246,0.0007964524255424401,0.0016025800289329916,-0.0056873840347788
CT013_ses2,0.006183572406224508,0.0044084418385665165,-0.003683033404946362,-0.0022049146456693115,-0.007809500197873722,-0.004147082063395294,-0.003941930230428877,0.006260364114321575,-0.0018828142912903037,0.010767768638277518,-0.007429531708905207,-0.004395939555330003,-0.007129914249430604,-0.0027270637474611364,-0.00749963794649499,0.00017059299622822807,0.006241401247019296,0.02335334801853924,-0.0055982930702494415,0.011850053990030597,0.00020562942194949472,0.009233353902873487,-0.011474071902180735,-0.0004212039075042534,-0.0006766749756806664,0.005552722538162822,-0.004539734763633731,0.0035912202697080575,-0.003243395050562389,-0.0006312128692864883,-0.009609699238049297,-0.006950571537614507,0.00951006076096095,-0.0020935982083330968,-0.0003041438076228737,0.001343890548704312,0.0005797760490554906,0.0005316255361090727,-0.004520211084616959
CT018_ses2,0.0043802651345125196,-0.0013792466205737853,-0.004722069832980128,0.008546103811172922,-0.00042204802018322603,0.002471515402481594,0.0045133928493281215,0.00734276016478758,-0.0031339260436087568,-0.005513022678314075,-0.006144579715479485,0.010611249219980277,-0.0029236007290271804,0.00224292730857141,-0.006353154601243705,-0.007069248796363581,0.005360155336414503,-0.010411111368936488,-0.0052066250878680005,-0.0007075733996270728,-0.006452956137707901,-0.005522997884218646,0.00041834772484855575,0.004004992430442995,-0.0034673364389272224,0.008988541098773967,0.0008187291438627107,0.01425414394048887,-0.0013754569720775608,0.017174010583952758,-0.006516533295891899,0.010040245826628201,0.009813793996803329,0.005630932385898064,-0.0022032795877174834,0.005898422737396033,0.000675041975203744,0.002658234326379892,0.006879867602777201
CT027_ses2,-0.001517089496586704,0.007973457715713507,-0.0019583909795271325,0.003624601548797277,-0.0050618395125353296,0.0028538642793258574,-0.0028475571441558887,-0.0038702065658263356,0.0020295369874000564,0.0028471784985831423,-0.006809996423622805,-0.005454890437634631,0.002355575387908741,0.0006182355027025596,0.00017719387963890736,0.0007154530733640229,-0.0008647435410519186,0.0008764573584548861,-0.0041999894420060545,0.007699241838279481,0.0004792133250692391,-0.006723507505894984,0.0037055458384607103,-0.005747630636251472,-0.005040102920643995,0.0019323708726759327,0.011404772228255838,-0.008587549010051656,0.015463019223298064,0.0004729331264363902,0.005759476074723477,0.005128488213100423,0.008108921421463066,-0.0001985318007296807,-0.015548567810390964,-0.006672734152421449,0.011315157412950649,-0.012746990220943746,0.002490043169983182
CT029_ses2,-0.0032427206195125287,0.007828022116431153,-0.006701173867565068,0.012404735368771451,-0.0011301987076469651,-0.015353118387853866,-0.005887554999399877,0.007039235387089178,0.0025182440290310634,-0.0038198791166098177,-0.0006972080020011123,-0.0017221285720673875,6.04951594739779e-05,-0.000408649115837766,0.003257762795041456,0.0009776904089308,0.0021538943130652655,-0.006685795638696782,-0.0010391054430609692,0.006481832301720493,-0.004453809888864154,-0.008772925108441208,0.00526116319004742,0.015047413867070555,0.0034242376112535045,-0.01732350578924894,-0.00764859909043186,-0.004850282725498988,-0.009305348357100474,-0.005094429165793424,-0.0037170305524817206,-0.0006662313280225229,0.005262481421357636,0.006334919600454799,-0.0033249731500936,-0.005546788874415542,0.005002276016638584,0.0026859807442247987,-0.00802158768583069
CT032_ses2,-0.0023927437259042505,0.00026168662571858205,-0.006812811384161817,0.003853114470614085,-0.002064146020827018,-0.006515724609441931,0.00674204703418058,-0.016800746030242775,-0.0013262666131823517,-0.0029702607719362534,0.00011612951408241565,-0.008399702409091499,-0.004197327076580802,-0.0031587998226073125,-0.015486200900976688,0.0072925325214171065,-0.0025415434358158897,-0.006107530994849018,-0.014441832414726569,-0.00019439368512110924,0.004122277398701881,-0.005901176302804507,-0.0030956933010767213,0.008881733243644056,-0.010943994749634027,0.007111968879777257,0.014051324523483582,-0.0006253845372218218,-0.002347551236306627,-0.006891652738528951,-0.0035835930364082544,-0.0006788095249130061,-0.007851670549546658,-0.0007426615548527538,0.005360520532942174,0.000413778136117035,-0.005540957581380306,0.003315575528274785,-0.004291232274838374
CT039_ses2,0.004380701828187907,0.004458431825770793,-0.008679858203521665,-0.0023943712304486794,0.0005073658603426466,0.004879251658719988,-0.004013750024865057,-0.0019182218342184696,-0.003829289160105163,-0.00023683483415851668,0.0008965516315919159,-0.0035341374313813084,0.0014603365557801207,-0.007063656959019456,0.0015294665330139816,-0.010340389318619197,0.0012273816183783195,0.002041627643491812,0.00019132905039120316,0.00792808804864931,0.003822045774462119,-0.0014115343246507552,-0.006031783418601026,0.0024877353185905377,0.0013576361542960063,-0.00218354284314945,-0.004067183789033802,-0.009046078273794549,0.005193439084948814,0.004113085597876638,-0.0012712123749798855,-0.001917276281117361,-0.017781633976410506,0.005942948011545516,-0.007301984522059414,0.003924179783479361,0.005270886256895821,0.017151533841255805,0.0135060499942194
CT041_ses2,0.007728401260972274,0.0026413584920059164,0.007116370953938274,-0.012701845647436514,-0.012103126930056633,0.012107792004297504,0.007003179875755047,-0.010514875075713732,0.00041342409970983215,-0.005062259499156474,-0.024079098048767875,0.00417578773979217,0.006399039406342412,0.004735829225061355,0.007232305362417605,0.011264496927715204,-0.004899183323542004,0.001311359693277085,0.0025694549360695007,-0.002820071445129028,-2.4090291706621094e-06,-0.0005174537619717785,0.005091003899059957,0.0014917777015440693,-0.0030927926313533863,-0.003321377014360993,-0.006821890917134722,0.00018213966889992883,-0.005822549850115812,-0.005145501510632585,-0.010576612783967808,0.003826451552711225,-0.004099586356317365,0.006273278880388446,-0.001176321814735906,0.003582932693256132,0.0027018566099304025,-0.0012185330459517725,-0.0009465459512388203
CT043_ses2,0.0012078945106323699,-0.003544635189513069,0.014191870729083055,-0.0001979213186529789,-0.003424302321015291,-0.0025296474987824866,-0.001671004535407632,-0.01345458723715798,-0.0032329138962562663,0.013792671963290282,-0.0020761629851758843,-0.00022068443682862242,-0.006102885841837673,0.011404845656791274,-0.01235878422421418,-0.017947226866234994,0.005600375230564381,-0.005832021607120303,-0.001166593501933869,-0.003752017673849562,0.0036005893022810135,0.010027380175682403,0.010878513410471486,-0.00058636361104625,0.008957480771231232,-0.00285432390501821,8.452647205927653e-05,0.0058962050435512085,-0.003143317994692174,-0.008800395421218752,0.005605655759581284,-3.256280806632495e-05,0.001551445120724687,0.003919811183411078,-0.004748079308376944,-0.0017014716848399228,0.004075326603581676,0.00451026755835154,0.0005328358449142918
CT046_ses2,0.002626541872756904,-0.0013935495422579681,-0.01036484895338103,-0.0015137446770288941,-0.014232060019394935,-0.0011610788582985965,-0.0019559593587311595,0.010478681293346382,0.0017436952123569367,0.0020471641338480756,-0.005391585157345413,0.006064185641779501,-0.012063125228637861,-0.002311540498621213,0.0029158938583689524,0.0073376410390609825,-0.0037473993715857246,0.0005846774956253286,-0.007476883096818215,-0.008823084352731193,-0.007951092532807099,0.00967418820763149,-0.003116831477679072,0.006520535035441109,0.001149194349035299,0.0014324964623004042,-0.002745843687521623,-0.0022299284618914,0.00043717514998637964,-0.004510749601981587,0.023702726805164196,0.008716849546646803,-0.004294029887968174,-0.00013036625819793103,0.00042514217253485065,0.002844119684914791,-0.0019235978930379877,0.0005286494891378914,0.0011684756063573692
CT062_ses2,-0.0004294665813251735,0.0035230202709235305,-0.006571982101679258,0.005904417137210942,0.0028233538753654713,-0.0059813184640435495,0.002173563840541557,-0.002607803176033607,-0.00555803442209029,0.010489763732755278,0.00442110412165693,0.012520256154421112,-0.003531562387228698,-0.004053713804899027,0.016786096986193107,0.0033061840097995698,0.013156908794544817,-0.002076550112840496,0.0029974956175501835,-0.002618806709150123,0.01350990971728149,-0.00491484731780344,0.0003482533741077716,0.0007567683197914855,0.007477188417118243,0.00627905832396439,0.0016898629463532606,0.003781431722734709,0.004858005396707041,-0.010255626413626333,-0.006541563177819977,0.006369830715690013,-0.003606391038860527,-0.007529247617367908,-0.003082876356973995,0.012552211907245462,0.001201863631608766,-0.00327680462638046,-0.004236202064722762
NT002_ses2,-0.008414499267768438,0.0031033683849815905,0.018460501269975012,-0.0028462246361817866,-0.014429802439852273,0.005426914950057549,0.014265379154538472,-0.0017911625966546215,0.011035593207184941,-0.009330994949198987,0.01584919428971858,-0.0023008582489024124,-0.011398919493286414,-0.006485411135707232,0.010154650077288748,-0.005501250227808954,0.008871562153354648,0.005179296620723925,-0.004618390693803571,-0.002272375896268716,0.005464258531337359,-0.0066767680191768194,-0.0035179634918444088,-0.0007049590829824925,-0.008653078466914809,-0.002798965722741662,-0.004989427008773206,0.003745928887422429,0.0009581265564436519,0.0016416870469398049,0.0034816771713809804,-0.0023696273467623324,0.0033284669946196522,0.0049855309870044506,-0.002423802317244544,-0.00214483061788172,-0.0015195588036279605,0.0024176014997822092,-0.001946937624478609
NT005_ses2,0.004882524882384752,-0.005850836171000359,-0.011400438653761297,0.0018506371297485438,-0.0019538711712796626,0.005801766441645379,0.011118615985227216,0.0007559592152585975,-0.0015448797774570435,0.005315617987375236,0.002388455935514629,-0.0004205566616464827,0.0020446890616494014,-0.006808520567477704,-0.0102812196931462,-0.006122377944593561,-0.01314651884275751,0.005584940356805555,-0.0014268538599774736,-0.01731217625343632,-0.0014075166643525178,-0.013834617276217459,-0.004382198256180449,-0.00661744159377448,0.006314093450279534,-0.010549873080914993,-0.006855695813466391,0.005599717098917653,0.005123728605666659,-0.0013328639582460367,-0.002625290040445433,-0.0013360270356151216,0.001030433121200611,-0.008464312556125725,0.002379839343058642,-0.002162823701408626,0.009980021830867327,0.0005377318628589845,-0.004248338922139337
NT015_ses2,-0.018957551267011423,0.014691977933038143,-0.010182460587049313,0.0002744366506828105,0.00756896651899331,0.015884337328853977,0.004554248652590568,-0.0042842796118926964,0.016667209731117915,0.006201037934761343,0.005653009245832927,0.009435343811067089,-0.008350928503970657,0.014667885746666632,-0.0029283810220273546,0.0025145367920925326,-0.009082630909079795,-0.0012314579574727326,0.005354660346010016,0.002941151896965093,0.0035857752110803683,0.0059383337189646635,-0.006657071290209463,0.005128551369010046,0.003613026853190422,-0.0011919796004611497,0.0014649134577540618,-0.004293220039572217,-0.005217059109457245,0.0016335234864973628,-0.003382501832334483,0.00022333171035404786,0.003766381082181658,-0.0029517338598725584,0.0025328156937810134,-0.0008468591525317086,0.0015674543970244238,-0.00013619658290690964,0.004280322533360882
NT016_ses2,-0.0007068244105112388,-0.001426785325459699,0.005736340689611506,0.008791113093523158,0.005803617503233698,-0.01701788215700389,0.019566459859013133,-0.012126549083194316,-0.01334128164739879,0.0006775714382075209,0.0024578489833531735,0.006822051413754044,0.0010120774539512367,0.005467991467515982,0.0018699825209342507,0.007094348225920648,-0.0025458807597642306,0.005485148744673489,0.013092192943940534,0.0023933185008674883,-0.014297000355799625,0.0012706669373228731,-0.00682988174677623,-0.0036323359726103907,-0.005374853682765238,0.002596752374197137,-0.004556053725975258,-0.0055934688091709706,-0.0012365717891512534,-0.0002544476147213683,0.00485541322549642,-0.0007685321487375354,0.0034325501150932088,-0.002614525047177589,-0.00425418116120143,-0.002556376989945062,0.00012238405218691054,0.004512504855468263,0.005746414458633029
NT017_ses2,0.00830519989039202,0.0035694322669933298,-0.0035955259855378614,0.004208053086837725,-0.006689226521171429,0.003027602310615663,0.00259889086504001,-0.0013091941685939193,-0.003068982309625881,0.004579318343826259,0.0004968731200687544,-0.0016108636896085247,-0.0009580968391907896,-0.0011332541343981788,0.0009471623450675564,-0.003850033573093437,-0.006088195651279824,-0.007700974555031414,-0.003956516731201968,-0.0009157404739465647,0.0005945440575244154,-0.00016439974848903548,0.0034805992723109798,-0.0033112508442270914,0.006175477387417572,-0.004418350407938551,-0.006226694480704699,-0.009030322635124054,0.004067555274133839,0.002684684682460792,-0.004756927075249517,-0.007259138518661493,0.004854513773302748,-0.0024001284723275495,-0.007260061278566859,0.0009215792747936676,-0.02784886259946333,-0.005700648114565923,0.0036631775368278995
