,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39
NT020_ses2,-0.026459732642368193,0.004497521077245816,0.008646588080422594,-0.00399699938965523,-0.0034347143112817453,-0.0013764028618657904,-0.018159407448360917,-0.0030188668950719604,-0.015363953073173968,-0.00595261258289071,-0.00018357933563885277,0.01054557241029834,-0.004809075541827386,-0.009894888803183679,-0.006044322540821773,0.007039247931997106,-0.010513408057215215,0.005348927943563448,0.0009455826848847892,0.002073178647156722,-0.00042867922756642356,-0.00393802468998469,0.007697938286431135,-0.0025733333718442756,0.0019479419137667683,-0.003103216261762107,-0.00010490086129095958,0.009097978701789569,0.0006863247623736307,0.004156046488749282,0.0007923426375726637,-0.004661233472344733,-0.002207867310185399,-0.003382045582040175,-0.0032939164608163725,0.0033571262554312987,-0.0022457181625139553,0.000374441131766517,0.001476889799725291
NT025_ses2,-0.008536698540236237,-0.013361929350082217,0.00042685047233295524,-0.007016620194413343,0.013076748134980873,-0.014028885472644293,0.0034924634808189913,-0.008619297898796653,0.01513632376609143,-0.00798462374552785,-0.01382572660029432,-0.005619826606408551,-0.0031250214400207893,-0.012329748128769833,0.00903206542754715,-0.009145435340085228,-0.008651863380239919,-0.0015263760983243706,-0.0011152863998176348,0.0018609856494309098,0.0005318228110287955,0.008345343828349155,-0.0015616977157754505,0.007748120894088964,0.008048549372837561,0.004051071617426162,-0.0036384839607162245,0.0033284414960530226,0.008734438507973707,0.0026240107491091926,-0.0015233376187662176,-0.0005856712367353199,0.0035786606319557893,-0.0027198873918023833,0.0013373216686538199,-0.0002671334554601904,0.00010292596501363833,-0.0027455150334063662,0.0009367045902296258
NT026_ses2,-0.004978888955760073,-0.001270506783482188,0.0036791056080959987,-0.007453024438371076,0.00029189580210165487,-0.005526159091000031,-0.0059280633906851855,0.00045414645587697267,0.0027628726888105914,0.014178532176286493,0.002603488716856122,-0.022168772488488125,-0.004347602654303803,0.0010075086961304344,0.0054853333517720475,0.007036767872978135,0.00023281122998226533,-0.0010257000640442962,0.004752102781253629,-0.010952796020790617,-0.007072207018377689,-0.011759116760184398,-0.002523914625306177,-0.0023536748499938826,0.008184796391077174,0.006917361441046826,0.0037618022312316695,-0.0016965459671280493,-0.01284619170672492,0.007267500316766252,-0.0008937741008277473,-0.0004682110662872471,-0.00044266306051121197,0.0069625177025772105,-0.0008121508110226474,0.006773747627385737,0.001602424500858344,-0.004746686580201408,0.006480378370527725
NT027_ses2,0.003895339249484119,0.002426093135377843,0.0018696917109364138,-0.00025948195134189317,0.007073993101129046,-0.0038123153581215378,-0.011683223175389487,0.00535430422210554,0.0018502967390177695,0.0007838317860759779,0.005925556757620274,-0.007179230101630672,-0.004811519291349972,0.010322856375526282,0.007045133076368879,0.0010836313981401544,-0.009419540588087518,0.007048709023657538,-0.0005071407860592673,-0.011615789678505435,-0.0004863730831552861,0.002774881729784612,0.01291486243440321,-0.0010479051899492237,-0.013619501797622757,0.004567940556379879,-0.0023437384133311264,-0.002709012197934024,0.00990522585183469,-0.0029485669709021036,-0.008940291175687858,0.009309366319977775,0.005427449745920522,-0.002660087056837216,0.0017033510647230712,-0.0017904118140417108,-0.002516844099637718,0.014344340920736292,-0.001503595786806411
NT031_ses2,0.00637009075035275,0.0025062422381434703,0.0023215294685992255,0.0006995322388263033,-0.003857610562185823,0.0017339208653242438,0.0008789913020035402,-0.003977339639562876,-0.01167652973771829,0.0010418044943215062,0.002489903534602303,-0.0035216363319292053,0.0069113321780570275,-0.005107591877261058,0.005478457874816413,0.006335780096599406,0.002167983640508689,-0.005339403500879179,-0.0034361903304146258,-0.0057142214882635965,0.013401161023601121,0.01102782256213376,0.004289608448437804,0.008224313817509469,-0.0021184737384216334,-0.005636987405178102,0.0025350030796438766,-0.007096499558509063,-0.002023369927259609,0.01270094554228427,0.0042678302789002235,-0.008609625509400545,0.012036682924748304,-0.007691943599231981,0.011688670166702346,0.002391627872919476,0.00923099805091367,0.0011951961601835025,0.005497141024059781
NT033_ses2,0.006965309412936843,-0.0027181098639671593,-0.00572933085295269,-0.004392949274289137,0.011379629596326251,0.010164214513701666,-0.0034541862833355527,-0.008834021415479556,-0.0009091706886226019,-0.003560374104656858,0.011065876496913292,0.0005525680022418286,0.008717179280609428,0.005035741569110296,0.010450669707140663,-0.005642720739956045,0.002147714330089161,0.010202482384887421,-0.01511044105430496,0.005897261391144799,-0.01652645733019653,-0.0021342230318669437,0.007117887104652795,0.0056968890441828676,-0.0018738128759806572,-0.0033955616320572287,0.0018993320290391958,0.008017379695533703,-0.005723753119674267,-0.006167187446285789,0.004082771472688326,-0.004875646988869174,0.00011133758601208255,-0.0050217236845231964,0.00025700765403190504,0.005799065832476067,-0.00020593908300437953,-0.006330927708430438,0.004843087940177057
NT036_ses2,0.00562681075660431,-0.00364183616896135,-0.0034836402391757414,0.0014857562429071213,-0.006094606207491447,-0.0062811755654458325,-0.0025609052259420997,0.007371896943724773,-7.58651210445017e-05,-0.000976190621662527,-0.0018392021667177803,0.00871495760244936,-0.0064911421229382595,0.002578616718977672,0.005226210679458621,-0.0025232798011768248,-0.0028495299309883276,0.0002803746975716096,0.0033722419169607185,0.0028664575860672795,0.0044153229345834325,-0.007510571748893897,0.003256071366487559,-0.004278044433012467,-0.0001453118205571891,0.004697428011745575,0.004475681222211591,0.0036853011130763415,0.0014512553024086012,-0.010447199275524182,-0.0027189670389965834,-0.009698107488357777,-0.001308734659973919,0.007405269621708545,0.016268036533021505,-0.014133978999387266,0.0007771514491985058,-0.005506404903225058,0.015790428007824396
NT040_ses2,-0.009611715018621698,0.01477985441275156,0.004539744922303269,0.013381596094985251,0.0066541042218801775,-0.006515681161799564,0.0012243059912392944,0.0020168184394068053,0.0026725010630660835,0.01051542929462961,-0.006115113899241428,-0.0018148204072713653,0.017776992160515027,0.0003389137908983276,0.00373805171361877,-0.005194254746397525,-0.004066087020254782,0.0013769441473962876,-0.010381916372999856,2.4301695375753493e-05,0.00528358035030985,0.0037840051635927006,-0.003936633800861817,-0.011878461831418776,-0.0076186663968781316,-0.0025340736644596648,-0.007207737021437014,0.005651542449682112,-0.0010731710240141714,0.0034580398199565133,0.006148423970885244,0.004861626144120403,-0.007374508897811996,0.008262000554816401,0.009607098250777756,0.0020025473266327373,-0.0030673614569983834,-0.0043316470809322575,-0.0019823688734712814
NT041_ses2,0.0021524659272903622,1.4414502241863815e-05,-0.004247188857135664,0.000745393958605795,-0.004630286100046489,0.004373629771428321,-0.0006895311810077173,-0.003765640102731224,-0.010297096985399308,-0.004359705749634612,0.01591445968676426,-0.006929739753928883,-0.0022976493133993006,-0.010482602779735782,-0.002114526127061505,-0.003592190419694102,-0.0023501832319386636,-0.0009048237407556679,0.007767901049561103,0.00245936944687048,-0.003179319266637481,0.01511965697816674,0.0009394637848921821,0.0013150663502988003,0.0006154162887420979,0.0005912861462298443,-0.003824009848010914,0.00023830953101405458,-0.003647223886271355,0.0006983365663007764,-0.009540485719495414,0.01737281334502881,-0.006299597672946989,0.0037356655660409355,0.00293741719456945,-0.008756361930151363,0.0018516223655624662,-0.013588329041636243,-0.0009705437572494777
NT044_ses2,0.0024028159580268653,-0.0015235087752098909,-0.005294850463045936,0.0029835804782384298,-0.005283784278564895,-0.0026283657011879997,0.0023037754933428463,0.001305798751271753,0.008253916581781161,-0.012669493747974957,0.0030595960044495787,-0.007316234477256673,-0.005950280522964945,0.0013107244156818048,-0.003885221916732992,0.005428335764367819,0.0005997850088121425,-0.009637119624244324,0.0002175098681944125,0.01366859462532049,-0.00367010976053395,0.004064159212138597,0.00818545814577318,-0.02346162071094762,0.004433925335621216,-0.0017699632497762477,-0.0023745706005405495,-0.0017623434884712057,-0.0015091371173546488,-0.003100802232741408,0.0002988988822209051,-0.0005128286152651716,0.0013559405770984143,-0.005030527292671643,0.006549667185981685,0.013784927220869882,0.005324475334018118,0.0039441284732656574,-0.0010676838163895747
NT047_ses2,-0.009728993003152034,0.006218803381742167,-0.005875364635531243,0.0010412088835133617,0.006734908426397777,0.0018324497552069888,0.004432222049262088,0.004521089728984045,-0.003880832851563444,-0.0190560624731929,-0.005561021158315966,-0.006509156329672068,0.00662707431553114,0.00380841056398135,-0.009027446696601014,-0.0005291937500428511,0.016893720589268576,0.013542211593147294,0.006019634564461141,-0.012803476779605034,0.0017977908825682805,0.0023356365942531344,0.0012905354380288504,0.0003320970735980689,0.009450547030610894,-0.00434340865710197,0.006711802631791795,-0.0037557404163572447,0.005365228956876645,-0.0053821249339253766,0.0018376106320873661,0.002153233592212569,0.0036456504962065557,0.006878290119983572,0.003263482325351772,0.0032733691702861293,-0.006228504551392523,-0.0009586014595286802,0.003278046504673722
NT049_ses2,0.007917917061059855,-0.0010991319342823361,0.009295214875425504,0.004063814184622353,0.007029007934295964,0.004156089844251765,-0.011245168553618306,-0.0019972818214957595,-0.0036089539259835115,-0.012329824845480966,0.005601200749734263,0.011005961331886376,0.0019761270706359956,0.00030052379766269633,0.0006948832326257883,-0.002198754285933493,-0.007617401553887051,-0.0031992555520335753,-0.008983262727526115,-0.006815695280812991,0.0005693595813859487,0.00036311026236561804,-0.012370439695334873,-0.00487024563400831,0.008440028811098734,0.013952446818992352,-0.0016339461258898826,-0.01302765500680502,-0.003786319958727793,-0.0036068856006937254,-0.00047253076775374955,-0.005128229982286015,0.004579204584735097,0.010318390447110503,-0.0018911173477549536,0.0008025140303669331,0.005083109856502542,-0.0005757226692221577,-0.009054766136734718
NT051_ses2,0.01568342455075146,-0.0006011343070109852,0.006699093241913009,-0.0031948337226436092,0.013711523145767993,-0.0036301105460475394,-0.005172268333183586,-0.003082160750886455,0.015076184738576637,0.0021239725439942824,0.006735577693631139,0.006809875503861329,0.0005705147765253936,-0.0042513311524624816,-0.01672303228546049,0.018022427005714305,0.008743164547920205,0.002296529771332745,0.0005010855790677973,-0.0003874107755196062,0.00590752455124055,-0.0031073206003535666,0.005639049202293965,0.002597587971345806,-0.0005147925270081383,-0.00016158324941914682,-0.013946290815056979,0.001447297383058206,0.003909459185346474,0.004116386050111138,0.0036019248391018855,0.0005198612238209616,-0.004050070745877628,0.0011718384503990112,-0.0024536851674253272,-0.0024537561992317917,-0.0003057403315287357,-0.005381133161752092,0.004805677103779902
NT056_ses2,0.008498868838648968,-0.00027014911142205265,-0.004453006920029097,-0.0008340562804267583,-0.004468536178852412,0.004898022328516502,-0.0012873429881968713,-0.007512951283570512,0.0038305369559138054,0.00678439777915483,0.006573443859759432,0.0009537244300209117,0.00862385278441652,-0.003102886545576293,0.004907118474179692,0.00913005751877579,-0.003092703730830451,0.0005924706058111371,0.009726406522151163,0.007159118177416549,-0.004147861230538008,0.0012487416547449829,-0.0004948084001681061,0.000607480164498718,0.00997243481167011,-0.0018235208914686829,0.012178194361676239,0.011714232621061063,0.01012558145554538,0.005310338488840358,0.004914579523036159,-0.0014407141853329337,0.003728655510383308,0.01299598564546762,0.0039804834630442175,-0.0038675519021923233,-0.004820526128213658,0.010411895107111584,-0.010767205838029979
NT059_ses2,0.003067705530378328,0.005858866863973158,0.014418228176331436,0.015094234152359628,-0.003247529309043887,0.00588366203980499,0.0017302303954837078,0.012858868570335167,0.011724482686413837,0.0030819204903740176,-0.0011742101356596243,0.0012294115474622092,0.008062790212783692,-0.013477333589822815,-0.004954947628347276,-0.004136543412762784,-0.002842733958719988,-0.0018101444022521613,0.012139633184076645,-0.004418444843377031,-0.010456225307046485,0.006273142569995993,0.004828072120945546,0.007314402883019837,-0.004812219330560473,0.005707460650016582,0.009287678933738622,-0.0006662545903538247,-0.0008549060069751374,-0.006624488561076649,-0.0035340599230496554,-0.009095790662860453,-0.005157593426402838,-0.005939959639118225,-0.0024300102208050563,0.0065335209267559915,0.0017185079113244202,-0.000821119788318477,0.0006317507475946526
NT070_ses2,-0.017982634423608274,-0.03580896683375549,-0.003767063497318863,0.013945009937680214,-0.006812664613110853,0.008786071107527582,-0.003003029295789653,0.0024734750588578584,0.0029652749808685326,0.005460473425829359,0.0008501675950455854,0.00044614639515233237,0.010069423620328434,0.004769596129432406,0.0010576054536201856,0.007541189254212952,0.0072620966683556295,0.0014446542316165149,-0.003635803435060471,0.0005936713394056804,0.0017350337249443573,0.0033464868166456435,0.0006679677561448889,-0.0009921407056957296,-0.0024344141978093685,0.0010178316853645688,-0.0038667223172122135,-0.0046562971072531475,-0.00023080887033627868,0.0005627950283608478,-0.00405335806768896,-0.001384962979952491,-0.0017592291263047411,0.0010796819842295712,-0.0032694998442036253,-0.0037316705970916794,-0.00046635693504592563,0.002015767091218292,0.0004246761578027601
NT081_ses2,-0.0010578193097047495,0.007771288967830132,0.005920380233866733,-0.003416639874068175,-0.004128509911742471,0.0034561649151480358,-0.002464985260135104,0.0016291928562738207,0.0018551230482081761,-0.004187044758025244,-0.003796271158241709,-0.003621821968655869,0.012198155983339403,-0.0008610952433945107,0.0012697627192690528,-0.00037100584928897686,0.006165781471012371,-0.0027272565800711165,-0.0016687473712573642,0.004110283300877579,-1.1327323704666477e-05,-0.006867825924058174,-0.001700613863300189,-0.0014146924185581792,0.011099233002041485,0.01159376271797788,-0.0024139575592798082,0.0013432304762419887,-0.008077095987557901,-0.0005743934571263551,0.003962449516625903,0.008731727897254597,-0.0001311913219391997,-0.019031730822495475,0.0015056464309413649,-0.01645267861972599,-0.0038453258208127694,0.0091388548949711,0.0003910734046050747
NT082_ses2,0.006233476407704727,-0.0033074297694123387,-0.004467688201107932,0.004663610282760237,-0.00381590692782744,-0.001582387777972319,-0.0007559104056465911,0.004844047507515031,-0.0037407391875326724,-0.011517390067437041,0.002036842633610939,-0.010482116770684878,0.0027137564202442364,0.017716651687967468,-0.00014292646390856242,-0.0037383062779094344,-0.00989153415092203,0.0021603764143511227,0.01262542345428117,0.004120881517142997,0.014672802606321266,-0.002572375822016026,-0.0013346419892087684,0.007744493935541975,-0.003011767324380192,0.007423446012410322,-0.005349812319894776,0.010235072821799486,-0.0014261960641166012,0.003144135840010427,0.00878855839625464,-0.0065785493048167,-0.005905534045222451,-0.0032053992678574383,-0.006578391119310142,0.004082329665260727,-0.00013719995928635856,-0.006263000148329993,-0.00537974197067282
NT090_ses2,-0.005855730505591422,-0.00021058862120407854,-0.0036050187021977966,-0.02803184526829016,-0.011055285758537875,-0.017729367869254116,0.003794643653843415,0.009433292518612869,0.003786356320261441,0.0014485403401948173,0.010825429089490642,0.010163808833566016,0.01678041530140493,0.007484759923304552,-0.005347233709203377,-0.004677071983515687,0.0008037088697801668,-0.004968681723548065,-0.002332842005105904,-0.0015580657529442276,-0.0025582771128789114,0.0031827204767972666,-0.0009248660986519854,0.0005593187858954898,-0.002563926582955482,0.0003978949656898454,0.0037229195039116263,-0.004239016226020575,0.003109367601089273,0.0021509045210895313,-0.005185226602009656,-0.0018102914438515557,-0.0021667823457135566,-0.000515396905236522,-0.0022798313891263778,0.0025711293618769634,0.0011438695246425562,-0.002309736388026402,-0.0021119192956372177
NT093_ses2,-0.0009680425645657375,0.0016065075982581404,0.00599864828164282,-0.00012794371465983277,-0.0006533430485350042,0.004135016257744875,-0.009098179530455695,-0.004270420882039542,-0.0034273697711445328,0.0012253929176044077,-0.0064785024201413875,-0.0004119787382387125,-0.009339843695231668,0.01061966636474641,0.0009304842696718235,-0.004605356783098899,0.013121717237150618,-0.006449557245584449,0.003990206458292212,-0.0006763087808936087,-0.01357927133414611,-0.003979791393829424,-0.006762033298348809,0.0028781490341236978,-0.0027658579076723267,-0.003002343833138129,-0.004167192964118703,-0.004828368099112455,0.013684057622530344,0.008689780192570882,-0.0017505086614028882,-0.005240112459391862,-0.009844648777310198,-0.006556170779844181,0.012629365948158337,-0.0010320415986582667,0.0007306245031018951,-0.00532978696029797,-0.00923359783979549
NT096_ses2,-0.0027239976608281627,-0.003319738118303893,0.01324574850375559,-0.008221184666931535,0.01620478787058277,0.008463398720355236,0.017724932145030636,0.021888094842213903,-0.013769278364317409,0.005430538586028577,-0.0005311696936341903,-0.005749611022062838,-0.00580379602465683,0.002210179481746615,-0.0009628074553554246,0.007139438053661676,-0.004472993368459814,-0.004655185122148356,-0.008551861096955805,0.010526315956954106,0.001212634872371851,-0.00021225395170868493,0.0033056338555878316,0.004054095308796304,0.0061206226936273535,-0.0007976041641849265,0.00169691836500596,-0.0006099286075797155,0.005030546828636713,-0.003004813954146762,-0.0003298727832705853,0.0002779740672188386,-0.00345152916127371,0.0026639921970412275,0.0003544776105072578,-0.0016304482580761968,0.0009831632084408317,0.0004248327030886143,-0.0030949043049377538
