Subject_Code,timepoint,cluster,silhouette_sample
CT002,b,1,0.39663431766508195
CT003,b,1,0.28616535058441855
CT004,b,1,0.4346153080031
CT005,b,1,0.2706818783787913
CT007,b,0,0.08007223898323262
CT008,b,0,-0.024528940576301995
CT010,b,1,0.6198657376420406
CT012,b,1,0.4674755784275868
CT013,b,0,0.006924398754130975
CT015,b,1,0.43099297577027423
CT016,b,1,0.5643106907056802
CT017,b,0,0.07918559459678108
CT018,b,1,0.23241277394846932
CT020,b,1,0.18808228307476865
CT021,b,1,0.3531046166136457
CT022,b,1,0.5120541402348332
CT023,b,1,0.5830610922668723
CT024,b,0,0.05600007014997186
CT025,b,0,-0.023647613261535208
CT026,b,1,0.4787806016906587
CT027,b,1,0.4627880678960854
CT028,b,1,0.5284060702324863
CT029,b,1,0.5830610922668723
CT030,b,0,0.21068196863987682
CT031,b,1,0.4787806016906587
CT032,b,1,0.44715578824714813
CT033,b,1,0.4787806016906587
CT034,b,1,0.5026027449139758
CT037,b,1,0.34706223180742807
CT038,b,1,0.6198657376420406
CT039,b,1,0.1651734304162325
CT040,b,1,0.6198657376420406
CT041,b,1,0.5284060702324863
CT042,b,1,0.4684086547351194
CT043,b,1,0.35641300823883854
CT044,b,0,-0.0511453322257767
CT046,b,0,-0.13320478774416541
CT050,b,1,0.3399217434605907
CT051,b,0,-0.11085227851800628
CT053,b,1,0.2798243623769097
CT056,b,1,0.5234175685263845
CT058,b,1,0.6198657376420406
CT061,b,1,0.30390837540368965
CT062,b,1,0.19857842857758215
CT065,b,1,0.5699251920075509
CT066,b,1,0.2366039050603444
NT001,b,1,0.511839938804439
NT002,b,1,0.361373386309536
NT003,b,1,0.5228741581052412
NT005,b,1,0.2225022729582015
NT006,b,1,0.32135091296592333
NT007,b,0,0.24865427203773574
NT008,b,1,0.49819069795354753
NT010,b,1,0.6198657376420406
NT011,b,1,0.4068242466506805
NT013,b,1,0.3258316763068051
NT015,b,0,0.13266067872444176
NT016,b,1,0.42526571737351265
NT017,b,1,0.6198657376420406
NT018,b,0,0.2312794060714507
NT019,b,1,0.49819069795354753
NT020,b,1,0.6198657376420406
NT022,b,0,0.06771086961909718
NT023,b,1,0.4360872097529581
NT024,b,1,0.21682528464428316
NT025,b,1,0.5471181612315141
NT026,b,1,0.3862107369310376
NT027,b,1,0.30869888802693185
NT028,b,1,0.4189238378434565
NT030,b,1,0.4224312488784315
NT033,b,0,-0.01042877339967878
NT034,b,1,0.41466915539158694
NT035,b,1,0.30730741786919413
NT036,b,0,0.16461729310422266
NT039,b,1,0.5268595428623343
NT040,b,1,0.4787806016906587
NT042,b,1,0.491071733805003
NT043,b,1,0.6198657376420406
NT045,b,1,0.3258316763068051
NT046,b,1,0.5493751844629002
NT047,b,0,-0.00441409266381368
NT048,b,0,0.07708580888838283
NT049,b,0,0.013836132135565062
NT052,b,0,-0.11503744039015004
NT053,b,1,0.30730741786919413
NT054,b,1,0.6198657376420406
NT055,b,0,0.0631783162108386
NT056,b,1,0.6198657376420406
NT057,b,1,0.3370867979363425
NT058,b,1,0.28616535058441855
NT059,b,1,0.5047557853707121
NT060,b,0,0.08942380374979625
NT061,b,1,0.5633723395428276
NT063,b,1,0.5425676742034072
NT065,b,0,0.1505079337442435
NT066,b,0,0.061615190605135206
NT067,b,1,0.3862107369310376
NT069,b,0,-0.0717268186974789
NT070,b,1,0.4986367238934175
NT074,b,1,0.2701846671713739
NT077,b,1,0.19556489826935716
NT080,b,1,0.2031363046871802
NT081,b,0,-0.0022118248216496895
NT082,b,0,0.21174805256366183
NT083,b,1,0.4543733556979574
NT085,b,1,0.4303666177648244
NT088,b,1,0.19556489826935716
NT089,b,1,0.541303580580712
NT090,b,1,0.6198657376420406
NT091,b,1,0.46147887552118316
NT092,b,1,0.5699251920075509
NT093,b,1,0.5425676742034072
NT094,b,1,0.5273547386864459
NT096,b,1,0.21682528464428316
NT097,b,1,0.4986367238934175
NT100,b,1,0.5228741581052412
NT102,b,1,0.6198657376420406
NT103,b,1,0.5471181612315141
NT105,b,1,0.6198657376420406
NT106,b,1,0.2129529738411511
NT110,b,1,0.47347109329442316
NT116,b,1,0.5228741581052412
NT117,b,1,0.566713892714207
NT118,b,0,0.05707476690741476
NT119,b,1,0.5830610922668723
NT122,b,1,0.6198657376420406
NT123,b,1,0.5339910386160712
NT124,b,1,0.2634528574229364
NT125,b,1,0.5493751844629002
NT126,b,1,0.5069091176266544
NT129,b,0,0.13093414894175318
NT131,b,1,0.2363496004460669
NT132,b,0,0.08887399249096588
NT134,b,0,-0.029746467983455475
NT135,b,1,0.38727959473582446
NT136,b,1,0.2820572337301881
NT137,b,1,0.48595434454207426
NT138,b,1,0.5830610922668723
NT139,b,1,0.3399217434605907
NT140,b,1,0.23888571660880564
NT142,b,1,0.40215296793220623
CT003,t1,1,0.34449002559911507
CT004,t1,1,0.5425676742034072
CT005,t1,1,0.20131772370506862
CT007,t1,0,0.09900644955952038
CT008,t1,1,0.4757846605323112
CT010,t1,0,0.14578382129255388
CT012,t1,0,0.04060486242296979
CT013,t1,1,0.42432992220332816
CT015,t1,0,0.29967025806571
CT016,t1,0,-0.09108539273158181
CT018,t1,1,0.19857842857758215
CT021,t1,0,0.23280139006642026
CT022,t1,1,0.566713892714207
CT023,t1,1,0.361373386309536
CT024,t1,0,0.2880338648282193
CT025,t1,0,0.07912383629769641
CT026,t1,1,0.26934542447242077
CT027,t1,1,0.28616535058441855
CT028,t1,1,0.5425676742034072
CT029,t1,1,0.35361157146657046
CT030,t1,0,0.08887399249096588
CT031,t1,1,0.4646788831652807
CT032,t1,0,0.006863297584306598
CT033,t1,1,0.20876182706350657
CT034,t1,1,0.6198657376420406
CT035,t1,1,0.511839938804439
CT038,t1,0,-0.14574365680982956
CT039,t1,0,0.25197004213396423
CT040,t1,1,0.5384721830658192
CT041,t1,1,0.566713892714207
CT044,t1,1,0.18551135856216794
CT045,t1,1,0.6198657376420406
CT046,t1,1,0.5001360830280269
CT047,t1,0,0.1663403727072301
CT048,t1,1,0.5047557853707121
CT049,t1,0,-0.01514259952892909
CT050,t1,1,0.48768792731598715
CT051,t1,0,0.15158735785426447
CT053,t1,1,0.15306069324641844
CT055,t1,0,-0.06031450647084868
CT058,t1,1,0.35895769045929665
CT060,t1,1,0.6198657376420406
CT061,t1,1,0.3408766274757133
CT062,t1,1,0.5715074846962004
CT065,t1,1,0.4893536945895401
CT066,t1,1,0.3058431450949991
NT001,t1,1,0.41692316095758764
NT002,t1,1,0.491071733805003
NT005,t1,1,0.21360357284379092
NT007,t1,1,0.5471181612315141
NT008,t1,1,0.6198657376420406
NT010,t1,1,0.6198657376420406
NT015,t1,0,0.20043269045315235
NT016,t1,1,0.2377934869801173
NT017,t1,1,0.3766764033815566
NT018,t1,0,0.17156437161087779
NT019,t1,1,0.38831173330959406
NT020,t1,1,0.15467165258279436
NT022,t1,1,0.38589531835798246
NT023,t1,0,0.003916222977735637
NT024,t1,0,0.27871338100582743
NT025,t1,1,0.4034385249766784
NT027,t1,1,0.4224312488784315
NT028,t1,1,0.4427112738677725
NT030,t1,1,0.5234175685263845
NT031,t1,1,0.6198657376420406
NT032,t1,1,0.2208047402953483
NT033,t1,1,0.24314544009822248
NT034,t1,1,0.3424629696819247
NT035,t1,1,0.31183185261608676
NT036,t1,0,-0.026223645916650207
NT039,t1,1,0.2751080795317763
NT040,t1,0,0.017141664061487216
NT041,t1,1,0.6198657376420406
NT042,t1,1,0.18801712901369502
NT043,t1,1,0.6198657376420406
NT044,t1,1,0.5633723395428276
NT045,t1,0,0.18470893904625504
NT046,t1,1,0.39439318992740946
NT047,t1,0,0.02220584850877464
NT048,t1,1,0.3382845685671338
NT049,t1,1,0.2659242955022948
NT051,t1,1,0.6198657376420406
NT052,t1,0,-0.01514259952892909
NT053,t1,0,0.06105529955054843
NT054,t1,1,0.6198657376420406
NT055,t1,0,-0.018877472627265784
NT056,t1,1,0.4943461985342519
NT057,t1,1,0.30869888802693185
NT058,t1,0,-0.024528940576301995
NT060,t1,0,0.21782363283912579
NT061,t1,1,0.6198657376420406
NT063,t1,0,-0.08835370242529657
NT065,t1,0,-0.02461399811168968
NT067,t1,1,0.566713892714207
NT069,t1,1,0.263152470834046
NT070,t1,1,0.6198657376420406
NT071,t1,1,0.3074771958948578
NT072,t1,1,0.5715074846962004
NT074,t1,1,0.4230850477581687
NT075,t1,1,0.6198657376420406
NT077,t1,1,0.5263145273522652
NT080,t1,1,0.2624211385766329
NT081,t1,1,0.15064039464644552
NT082,t1,1,0.3638262625681848
NT083,t1,0,0.23263080507915396
NT084,t1,1,0.26674442971835105
NT085,t1,1,0.5070171771994798
NT087,t1,1,0.5471181612315141
NT088,t1,1,0.1657446096943057
NT089,t1,1,0.5830610922668723
NT090,t1,1,0.5026027449139758
NT091,t1,1,0.5715074846962004
NT092,t1,1,0.2757227078322768
NT094,t1,1,0.4354814086633875
NT096,t1,0,0.2964960594337995
NT097,t1,0,0.28799099475583123
NT100,t1,1,0.5228741581052412
NT107,t1,1,0.4601157336115938
NT110,t1,0,0.06748543198584775
NT112,t1,1,0.379020301036682
NT114,t1,1,0.502348749538753
NT116,t1,1,0.5699251920075509
NT117,t1,1,0.5360077132828813
NT118,t1,1,0.5038877566659844
NT121,t1,0,0.12873248520387023
NT122,t1,1,0.3269625542335175
NT123,t1,1,0.339609756535158
NT124,t1,1,0.23638282127200158
NT126,t1,1,0.4600183138854642
NT129,t1,0,-0.15356060665937177
NT131,t1,1,0.39142134673356116
NT134,t1,0,-0.01514259952892909
NT135,t1,1,0.5471181612315141
NT136,t1,1,0.4986367238934175
NT137,t1,1,0.41466854083626054
NT139,t1,1,0.2518042307597669
NT140,t1,1,0.541303580580712
NT142,t1,1,0.3425050188589796
CT003,t2,1,0.38589531835798246
CT004,t2,1,0.39884873769415397
CT005,t2,1,0.3203341942567052
CT007,t2,0,0.07766670059176546
CT008,t2,1,0.3408766274757133
CT010,t2,1,0.26646649859723054
CT012,t2,0,0.08457578517819353
CT013,t2,1,0.12941530272155163
CT015,t2,0,-0.01042877339967878
CT017,t2,1,0.32010826186103447
CT018,t2,1,0.1657446096943057
CT021,t2,0,0.29201148531164184
CT022,t2,1,0.5715074846962005
CT023,t2,0,0.17818838520590102
CT024,t2,0,0.013036217908938398
CT025,t2,1,0.314503419092887
CT026,t2,1,0.46374489068223335
CT027,t2,0,0.19211573458000153
CT028,t2,1,0.21714377796456655
CT029,t2,1,0.4581333991659525
CT030,t2,0,0.24501794843881844
CT031,t2,1,0.39188704651017797
CT033,t2,1,0.38459912391592116
CT034,t2,1,0.4307632769099631
CT037,t2,1,0.30390837540368965
CT038,t2,1,0.4600183138854642
CT039,t2,0,0.11945041752335994
CT040,t2,1,0.6198657376420406
CT041,t2,1,0.5347543453838126
CT044,t2,0,0.1649471676519574
CT045,t2,1,0.6198657376420406
CT046,t2,1,0.3395494924734109
CT047,t2,0,0.29052341648723085
CT049,t2,1,0.3368502703994212
CT050,t2,1,0.4595958834583861
CT051,t2,0,-0.03574801346734469
CT053,t2,1,0.15223329137438102
CT055,t2,1,0.3752086089993253
CT056,t2,1,0.48768792731598715
CT057,t2,1,0.5699251920075509
CT058,t2,1,0.5493751844629002
CT059,t2,1,0.5643106907056802
CT060,t2,1,0.5425676742034072
CT061,t2,0,0.0374409183343602
CT062,t2,1,0.6198657376420406
CT066,t2,1,0.5069091176266544
NT001,t2,1,0.5070171771994798
NT002,t2,1,0.511839938804439
NT005,t2,0,-0.11503744039015004
NT007,t2,1,0.6198657376420406
NT008,t2,1,0.6198657376420406
NT010,t2,1,0.5425676742034072
NT015,t2,0,-0.06322070814728231
NT016,t2,1,0.4539920593134045
NT017,t2,1,0.46236813473752153
NT018,t2,0,0.2965659110645662
NT022,t2,0,0.2764816910726979
NT023,t2,1,0.4189238378434565
NT024,t2,0,-0.013629569458387171
NT025,t2,1,0.6198657376420406
NT026,t2,0,0.18680958690991328
NT027,t2,0,-0.12297484498780259
NT028,t2,1,0.3417138743228586
NT029,t2,1,0.41692316095758764
NT030,t2,1,0.5643106907056802
NT031,t2,1,0.6198657376420406
NT032,t2,1,0.5228741581052412
NT033,t2,1,0.4326396811635929
NT034,t2,0,0.23470776593893725
NT035,t2,1,0.3709968103351929
NT036,t2,1,0.21360357284379092
NT039,t2,1,0.44867215946335803
NT040,t2,1,0.24200252703601144
NT042,t2,1,0.16921657437375331
NT044,t2,1,0.46720724047132195
NT046,t2,1,0.18787400272923635
NT047,t2,1,0.23595657975372406
NT048,t2,1,0.20973045253528796
NT049,t2,1,0.22681502976599024
NT051,t2,1,0.6198657376420406
NT052,t2,1,0.21396768742951772
NT054,t2,1,0.6198657376420406
NT055,t2,1,0.361373386309536
NT058,t2,1,0.39447302237772136
NT059,t2,1,0.6198657376420406
NT060,t2,0,0.23990412496697186
NT063,t2,1,0.5070171771994798
NT065,t2,0,0.14683092901501574
NT067,t2,1,0.5047557853707122
NT069,t2,1,0.31715588122566174
NT070,t2,1,0.41015176502592515
NT071,t2,1,0.5493751844629002
NT072,t2,1,0.5310104364287391
NT074,t2,0,0.2046978939420821
NT076,t2,1,0.6198657376420406
NT077,t2,1,0.4650275438426648
NT080,t2,0,-0.10078486463978571
NT081,t2,1,0.5234175685263845
NT082,t2,1,0.5699251920075509
NT083,t2,0,-0.07682401756411694
NT084,t2,1,0.5023719204756293
NT085,t2,1,0.5360077132828813
NT087,t2,1,0.6198657376420406
NT088,t2,1,0.39167276633220505
NT089,t2,1,0.4277296733426326
NT090,t2,1,0.39439318992740946
NT091,t2,1,0.20099407059763538
NT092,t2,1,0.5633723395428276
NT093,t2,1,0.6198657376420406
NT094,t2,1,0.3894482694845482
NT096,t2,0,0.1974920542009544
NT097,t2,1,0.24401964671183574
NT100,t2,1,0.5830610922668723
NT102,t2,1,0.6198657376420406
NT107,t2,1,0.20973045253528796
NT110,t2,1,0.25104202613256416
NT114,t2,1,0.6198657376420406
NT116,t2,0,-0.007111966366186907
NT117,t2,1,0.5360077132828813
NT118,t2,1,0.21682528464428316
NT121,t2,1,0.3216067445317795
NT122,t2,1,0.5633723395428276
NT123,t2,1,0.5069091176266544
NT124,t2,1,0.5493751844629002
NT126,t2,1,0.5493751844629002
NT129,t2,0,0.24386290219987297
NT131,t2,0,0.07708580888838283
NT134,t2,0,0.1363764008077756
NT135,t2,1,0.5050712598445432
NT136,t2,1,0.510951709656975
NT139,t2,0,0.253487422997842
NT140,t2,1,0.5830610922668723
CT003,t3,1,0.29758423221670227
CT004,t3,1,0.5070171771994798
CT005,t3,0,0.043390820854783116
CT007,t3,0,0.28405124584610275
CT008,t3,1,0.4307632769099631
CT010,t3,0,0.3293790346618031
CT012,t3,0,0.02724261096043379
CT013,t3,1,0.30648260815210066
CT015,t3,1,0.5715074846962005
CT021,t3,0,0.22767417511704952
CT022,t3,1,0.4917998542275033
CT023,t3,0,0.14250725620742669
CT024,t3,1,0.5047557853707122
CT025,t3,1,0.5471181612315141
CT026,t3,1,0.46856515824803097
CT027,t3,0,0.06943040687746369
CT028,t3,1,0.49826152086882886
CT029,t3,0,-0.14255594217189158
CT031,t3,1,0.5069091176266544
CT033,t3,1,0.4650275438426648
CT034,t3,0,-0.07569522470518432
CT035,t3,1,0.5643106907056802
CT038,t3,0,-0.09990703503642051
CT039,t3,0,0.09445888015940358
CT040,t3,1,0.5643106907056802
CT041,t3,1,0.6198657376420406
CT043,t3,1,0.5425676742034072
CT044,t3,0,-0.12602110679971273
CT046,t3,0,0.04502311680578783
CT047,t3,0,0.2570173382006299
CT050,t3,1,0.42471247043274113
CT051,t3,1,0.2518042307597669
CT053,t3,0,0.0872177035588924
CT055,t3,1,0.6198657376420406
CT056,t3,1,0.4104874186593196
CT058,t3,1,0.4601157336115938
CT059,t3,1,0.6198657376420406
CT060,t3,1,0.6198657376420406
CT061,t3,0,0.10219775631329611
CT062,t3,1,0.500957581873771
CT066,t3,1,0.4997564618721832
NT001,t3,1,0.21360357284379092
NT002,t3,1,0.4601157336115938
NT005,t3,1,0.31185763843798386
NT007,t3,1,0.6198657376420406
NT008,t3,1,0.6198657376420406
NT010,t3,1,0.5699251920075509
NT015,t3,1,0.3862107369310376
NT016,t3,1,0.5715074846962005
NT017,t3,1,0.5302193537664583
NT018,t3,1,0.2820572337301881
NT020,t3,1,0.6198657376420406
NT022,t3,0,0.27576706924210737
NT023,t3,1,0.3395494924734109
NT024,t3,0,0.08942380374979625
NT025,t3,1,0.5425676742034072
NT026,t3,0,0.19482241497098934
NT027,t3,1,0.4359619425617678
NT028,t3,1,0.3926985542724046
NT030,t3,1,0.4748712276295585
NT031,t3,1,0.6198657376420406
NT032,t3,1,0.6198657376420406
NT033,t3,1,0.37793699137589076
NT034,t3,1,0.49583356641651605
NT035,t3,1,0.5715074846962005
NT036,t3,0,0.21674505410935874
NT039,t3,1,0.5038877566659844
NT040,t3,1,0.4848079440996185
NT042,t3,1,0.5699251920075509
NT044,t3,1,0.5715074846962005
NT045,t3,1,0.6198657376420406
NT046,t3,1,0.5310104364287391
NT047,t3,0,0.2258075057605195
NT048,t3,0,0.08942380374979625
NT049,t3,0,0.12070580804863838
NT051,t3,1,0.6198657376420406
NT055,t3,1,0.3399217434605907
NT056,t3,1,0.4581333991659525
NT057,t3,1,0.39439318992740946
NT058,t3,1,0.4292972752745617
NT059,t3,1,0.4257127174379934
NT060,t3,0,0.20051340404615686
NT061,t3,1,0.6198657376420406
NT063,t3,1,0.48149313571813185
NT065,t3,1,0.1988100521002178
NT068,t3,1,0.6198657376420406
NT069,t3,1,0.41939836099238437
NT070,t3,1,0.4986367238934175
NT072,t3,1,0.4870909770431464
NT074,t3,0,-0.07670651365309351
NT076,t3,1,0.5493751844629002
NT077,t3,1,0.43676323059104927
NT080,t3,1,0.2314420484102441
NT081,t3,1,0.28616535058441855
NT082,t3,1,0.46374489068223335
NT084,t3,1,0.6198657376420406
NT085,t3,1,0.49386827249684884
NT087,t3,1,0.6198657376420406
NT089,t3,0,-0.029746467983455475
NT090,t3,1,0.5471181612315141
NT091,t3,1,0.3403171275505246
NT094,t3,1,0.1772184094254076
NT096,t3,0,0.18564455487658674
NT097,t3,0,0.14145149932493412
NT100,t3,0,0.05684982147960794
NT107,t3,1,0.5633723395428276
NT112,t3,1,0.6198657376420406
NT113,t3,0,0.1471162922781291
NT116,t3,1,0.6198657376420406
NT118,t3,1,0.6198657376420406
NT121,t3,1,0.43051548744344814
NT123,t3,1,0.35806634040014057
NT124,t3,1,0.45977271329818825
NT125,t3,1,0.5339910386160712
NT126,t3,1,0.4646788831652807
NT129,t3,0,0.23385969768955725
NT131,t3,1,0.27620835222676876
NT134,t3,1,0.3279142797085885
NT135,t3,0,-0.119250757406279
NT136,t3,1,0.21682528464428316
NT140,t3,1,0.5310104364287391
CT003,after,1,0.39439318992740946
CT004,after,0,-0.04885392523494874
CT005,after,1,0.3235829246239494
CT007,after,0,0.10882386522365742
CT008,after,1,0.6198657376420406
CT010,after,1,0.28583455615005937
CT012,after,1,0.27829944217749436
CT013,after,1,0.3299742347440168
CT015,after,1,0.19728826068529112
CT017,after,0,0.2685630774952704
CT018,after,1,0.24137981837311112
CT022,after,1,0.458599548193339
CT023,after,1,0.566713892714207
CT024,after,1,0.5633723395428276
CT025,after,1,0.1312011927115996
CT026,after,1,0.4848079440996185
CT027,after,0,0.1546476091814488
CT028,after,1,0.4650275438426648
CT029,after,1,0.5310104364287391
CT030,after,0,0.2519037123394329
CT031,after,1,0.5047557853707122
CT032,after,1,0.6198657376420406
CT033,after,0,0.2288515426309981
CT034,after,1,0.5069091176266544
CT035,after,1,0.3959239710551366
CT037,after,1,0.5425676742034072
CT038,after,0,-0.1078697699843882
CT039,after,0,0.23619830766072392
CT041,after,1,0.35016496950778914
CT044,after,0,-0.11502328356221328
CT046,after,1,0.566713892714207
CT049,after,0,-0.08690525441137852
CT050,after,1,0.3592106339646942
CT051,after,1,0.12096996865416607
CT055,after,1,0.6198657376420406
CT056,after,1,0.5302193537664583
CT058,after,0,0.14019122958909033
CT059,after,1,0.5643106907056802
CT060,after,1,0.48595434454207426
CT061,after,1,0.21509724168795494
NT001,after,1,0.2334501276873448
NT002,after,0,-0.062129562104256866
NT005,after,1,0.5633723395428276
NT007,after,1,0.6198657376420406
NT010,after,1,0.6198657376420406
NT015,after,0,0.2029092172040971
NT016,after,1,0.5643106907056802
NT017,after,1,0.511839938804439
NT018,after,0,0.060946473891736366
NT019,after,1,0.5830610922668723
NT020,after,1,0.6198657376420406
NT022,after,0,-0.024665047781471734
NT023,after,1,0.29758423221670227
NT024,after,1,0.24137981837311112
NT025,after,1,0.5633723395428276
NT026,after,1,0.30869888802693185
NT027,after,1,0.4360872097529581
NT028,after,1,0.2113111557762536
NT029,after,0,-0.16769942990534914
NT030,after,1,0.49826152086882886
NT031,after,1,0.6198657376420406
NT032,after,1,0.4205058331296436
NT033,after,1,0.34714048180401874
NT034,after,1,0.5360077132828813
NT036,after,1,0.2627661273761581
NT039,after,1,0.39250875903193955
NT040,after,0,-0.018618541887369517
NT041,after,1,0.6198657376420406
NT042,after,1,0.511839938804439
NT043,after,1,0.6198657376420406
NT044,after,1,0.5302193537664583
NT045,after,1,0.3370867979363425
NT046,after,1,0.30535910906173913
NT047,after,0,0.1691288385219863
NT048,after,1,0.500957581873771
NT049,after,0,0.25355017512091715
NT051,after,1,0.5425676742034072
NT052,after,1,0.2627661273761581
NT053,after,0,-0.14350761789299152
NT054,after,1,0.4646788831652807
NT055,after,1,0.24303398496345843
NT056,after,1,0.4189594765103985
NT057,after,0,-0.02588064361115841
NT058,after,1,0.21806922764790193
NT059,after,1,0.5643106907056802
NT060,after,0,0.24239481087024004
NT061,after,1,0.6198657376420406
NT063,after,1,0.2044058595913969
NT065,after,1,0.24137981837311112
NT068,after,1,0.46720724047132195
NT069,after,1,0.48768792731598715
NT071,after,1,0.4914356620834049
NT072,after,1,0.5302193537664583
NT074,after,1,0.23767690094427762
NT075,after,1,0.6198657376420406
NT077,after,1,0.33945423993476614
NT081,after,1,0.41939836099238437
NT082,after,1,0.5070171771994798
NT084,after,1,0.4257699161499044
NT085,after,1,0.42072435647672823
NT087,after,1,0.566713892714207
NT088,after,1,0.19857842857758215
NT089,after,0,-0.06096591965997457
NT090,after,1,0.6198657376420406
NT091,after,1,0.23416234721922843
NT093,after,1,0.6198657376420406
NT094,after,0,0.3006871770828698
NT096,after,0,0.14844228921327535
NT097,after,0,0.0283731260681762
NT100,after,1,0.5643106907056802
NT102,after,1,0.5069091176266544
NT106,after,1,0.22344206560443317
NT107,after,1,0.6198657376420406
NT110,after,1,0.3557169158031672
NT113,after,0,0.1332671610746516
NT114,after,1,0.6198657376420406
NT117,after,1,0.29326866883264974
NT118,after,1,0.3279142797085885
NT121,after,1,0.4361254174885918
NT122,after,0,-0.13320478774416541
NT123,after,1,0.566713892714207
NT124,after,1,0.541303580580712
NT126,after,1,0.44867215946335803
NT129,after,0,0.30638490944856345
NT136,after,0,0.16486700948050295
